Student_ID,Student_GivenName,Student_Surname,House,Merits,Demerits,Merit_Type,Awarded_By,Date Awarded
626,Jack,Howells,Dannister,3,,Sports,ATR,25/02/2022
225,Jasmine,Hilton,Mully,3,,Social,LHO,25/02/2022
438,Andrew,Storey,Dannister,3,,Arts,ATR,25/02/2022
1534,Yasmin,Talbot,Laratheon,,1,Academic,VMA,25/02/2022
469,Mohammed,Mellor,Mully,3,,Social,LEX,25/02/2022
1558,Jacob,Watson,Laratheon,3,,Arts,LEX,26/02/2022
442,Elise,Walters,Dannister,2,,Behaviour,LEX,26/02/2022
466,Bradley,Cameron,Tark,2,,Arts,LEX,26/02/2022
335,Abigail,Hardy,Dannister,1,,Academic,SMO,26/02/2022
1397,Samantha,Dodd,Laratheon,2,,Social,LEX,26/02/2022
899,Aaliyah,Flynn,Mully,1,,Sports,LEX,26/02/2022
512,Danielle,Shaw,Tark,2,,Behaviour,GBR,26/02/2022
123,Georgia,Allan,Laratheon,3,,Social,LHO,26/02/2022
645,Louie,Whitehead,Dannister,2,,Social,MAR,26/02/2022
1219,Abby,Robertson,Laratheon,,1,Academic,VCR,26/02/2022
719,Libby,Wall,Mully,3,,Sports,GBA,27/02/2022
686,Abbie,Bennett,Dannister,3,,Arts,GBA,27/02/2022
424,Eleanor,Stone,Mully,3,,Arts,SMO,27/02/2022
1486,Lilly,Potts,Dannister,,2,Behaviour,VMA,27/02/2022
1089,Finlay,Fuller,Laratheon,3,,Arts,GBA,27/02/2022
686,Abbie,Bennett,Dannister,2,,Arts,JMI,27/02/2022
782,Max,Stokes,Mully,1,,Sports,SMO,28/02/2022
112,Ellis,Charlton,Laratheon,3,,Arts,ATR,28/02/2022
1422,Mason,Hanson,Mully,3,,Social,MAR,28/02/2022
417,Oscar,Potts,Tark,3,,Social,VMA,28/02/2022
293,Sarah,Talbot,Tark,3,,Sports,MAR,28/02/2022
228,Tilly,Parkinson,Laratheon,3,,Behaviour,SMO,28/02/2022
567,Samantha,Chapman,Laratheon,1,,Social,MAR,28/02/2022
626,Jack,Howells,Dannister,3,,Sports,ATR,28/02/2022
